Bus No,Date,Time,Week Day,Bus Type,Driver Rating Based On Time,Driver Rating Based On Decepline,Bus Rating,Driver Age,Weather,Longtide,Latitude
NA-7111,2020-01-09,16:18:25,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.43256
NA-7111,2020-01-09,16:18:26,Thursday,Normal,4,4.5,4.5,32,32,8.354,80.43255
NA-7111,2020-01-09,16:18:27,Thursday,Normal,4,4.5,4.5,32,32,8.354,80.43253
NA-7111,2020-01-09,16:18:28,Thursday,Normal,4,4.5,4.5,32,32,8.35399,80.43251
NA-7111,2020-01-09,16:18:29,Thursday,Normal,4,4.5,4.5,32,32,8.35399,80.43249
NA-7111,2020-01-09,16:18:31,Thursday,Normal,4,4.5,4.5,32,32,8.35399,80.43252
NA-7111,2020-01-09,16:18:32,Thursday,Normal,4,4.5,4.5,32,32,8.35399,80.43256
NA-7111,2020-01-09,16:18:33,Thursday,Normal,4,4.5,4.5,32,32,8.354,80.43262
NA-7111,2020-01-09,16:18:34,Thursday,Normal,4,4.5,4.5,32,32,8.354,80.43268
NA-7111,2020-01-09,16:18:35,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.43274
NA-7111,2020-01-09,16:18:36,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.43281
NA-7111,2020-01-09,16:18:37,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.4329
NA-7111,2020-01-09,16:18:38,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.43298
NA-7111,2020-01-09,16:18:39,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.43305
NA-7111,2020-01-09,16:18:40,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.43313
NA-7111,2020-01-09,16:18:41,Thursday,Normal,4,4.5,4.5,32,32,8.354,80.43321
NA-7111,2020-01-09,16:18:42,Thursday,Normal,4,4.5,4.5,32,32,8.35401,80.43332
NA-7111,2020-01-09,16:18:43,Thursday,Normal,4,4.5,4.5,32,32,8.35402,80.43343
NA-7111,2020-01-09,16:18:44,Thursday,Normal,4,4.5,4.5,32,32,8.35404,80.43353
